Table: Table_1

Mesa Número ,1053 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,006 ,,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,046 ,,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,,7 ,1 ,
30 ,PARTIDO REPUBLICANO (PR) ,,000 ,,
31 ,CAMBIO (CAMBIO) ,,000 ,,
32 ,PARTIDO AZUL (AZUL) ,,006 ,,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,003 ,,
18 ,VICTORIA (VICTORIA) ,,003 ,,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,001 ,,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,003 ,,
26 ,BIENESTAR NACIONAL {BIEN) ,,001 ,,
37 ,UNION REPUBLICANA (UR) ,,000 ,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,007 ,,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,000 ,,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,001 ,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,001 ,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,005 ,,
88 ,SEMILLA URNG-MAIZ WINAO (SEMILLA URNG-MAIZ WINAQ) ,,120 ,,
12 ,M1 FAMILIA (MI FAMILIA) ,,000 ,,
33 ,CABAL (CABAL) ,,002 ,,
17 ,VISION CON VALORES (VIVA) ,,006 ,,
22 ,PODEMOS (PODEMOS) ,,006 ,,
116 ,PARTIDO DE OPORTUNIDADES y DESARROLLO {PODER) ,,000 ,,
20 ,COMPROMISO, RENOVACION Y ORDEN {CREO ,,050 ,,





Table: Table_3

Código Nombre y Siglas ,,Vptos ,Válidos ,
Total Votos Válidos (Es la sumo de los votos obtenidos por los organizaciones politicas) ,,244 ,,
Votos Nutos ,,014 ,,
Votos en Blanco ,,000 ,,
Total Votos Validamente Emitidos (Es la suma de los votos válidos, votos nulos y votos en blanco) ,,258 ,,
Votos Inválidos ,,000 ,,
Total Votos (Es to sumo de los votos válidomente emitidos y votos invólidos) ,,258 ,,





