Table: Table_1

Mesa Número ,1380 ,,
Departamento ,01 ,Guatemala ,
Municipio ,01 ,Distrito Central ,
Tipo de Elección ,Corporación ,Municipal ,





Table: Table_2

Código ,Nombre y Siglas ,Votos ,Válidos ,,
23 ,TODOS (TODOS) ,,01 ,1 ,
15 ,UNIDAD NACIONAL DE LA ESPERANZA (UNE) ,,01 ,8 ,
41 ,VALOR UNIONISTA (VALOR UNIONISTA) ,O ,3 ,6 ,
30 ,PARTIDO REPUBLICANO (PR) ,O ,0 ,1 ,
31 ,CAMBIO (CAMBIO) ,,O ,2 ,
32 ,PARTIDO AZUL (AZUL) ,,,1 ,
27 ,MOVIMIENTO PARA LA LIBERACION DE LOS PUEBLOS (MLP) ,,,,
18 ,VICTORIA (VICTORIA) ,,,4 ,
36 ,VAMOS POR UNA GUATEMALA DIFERENTE (VAMOS) ,,,2 ,
28 ,PARTIDO HUMANISTA DE GUATEMALA (PHG) ,,,,
26 ,BIENESTAR NACIONAL (BIEN) ,,,1 ,
37 ,UNION REPUBLICANA (UR) ,,,,
25 ,PARTIDO DE AVANZADA NACIONAL (PAN) ,,,3 ,
34 ,PARTIDO DE INTEGRACIÓN NACIONAL (PIN) ,,,2 ,
16 ,FRENTE DE CONVERGENCIA NACIONAL (FCN-NACION) ,,,,
80 ,COMITE CIVICO LA GOTA DE AGUA (COMITE CIVICO LA GOTA DE AGUA) ,,,,
13 ,PARTIDO POLITICO NOSOTROS (PPN) ,,,2 ,
88 ,SEMILLA URNG-MAIZ WINAQ (SEMILLA URNG-MAIZ WINAO) 1022/ ,,,,
12 ,MI FAMILIA (MI FAMILIA) ,,000 ,,
33 ,CABAL (CABAL) ,,,4 ,
17 ,VISION CON VALORES (VIVA) ,,10 ,7 ,
22 ,PODEMOS {PODEMOS ,,,8 ,
116 ,PARTIDO DE OPORTUNIDADES Y DESARROLLO (PODER) ,,0 ,1 ,
20 ,COMPROMISO, RENOVACION Y ORDEN (CREO) ,,72 ,,





Table: Table_3

Código Nombre y Siglas ,,Votos ,Válidos ,
Total Votos Válidos (ES lo suma de los votos obtenidos por las organizaciones políticos) ,1 ,9 ,8 ,
Votos Nulos ,,005 ,,
Votos en Blanco ,,,1 ,
Total Votos Validamente Emitidos (Es la suma de los votos vólidos, votos nutos y votos en bianco) ,,204 ,,
Votos Inválidos ,,00 ,8 ,
Total Votos (Es la suma de los votos válidomente emitidos y votos inválidos) ,2 ,1 ,2 ,





